ID,Radius,Pad,U,G,Pin,PinColID,PinRowID,FEE,FEE_Connector,FEE_Chan
1670,2,97,14,1,B10,1,10,1.0,J1,60
1694,2,98,14,1,C10,2,10,1.0,J1,61
1742,2,99,14,1,E10,4,10,1.0,J1,59
1719,2,100,14,1,D11,3,11,1.0,J1,55
1743,2,101,14,1,E11,4,11,1.0,J1,52
1696,2,102,14,1,C12,2,12,1.0,J1,51
1768,2,103,14,1,F12,5,12,1.0,J1,46
1697,2,104,14,1,C13,2,13,1.0,J1,44
1721,2,105,14,1,D13,3,13,1.0,J1,45
1769,2,106,14,1,F13,5,13,1.0,J1,43
1698,2,107,14,1,C14,2,14,1.0,J1,41
1746,2,108,14,1,E14,4,14,1.0,J1,39
1770,2,109,14,1,F14,5,14,1.0,J1,36
1723,2,110,14,1,D15,3,15,1.0,J1,35
1747,2,111,14,1,E15,4,15,1.0,J1,32
1950,2,112,16,1,C10,2,10,0.0,J1,61
1998,2,113,16,1,E10,4,10,0.0,J1,59
2042,2,114,16,1,E9,4,9,0.0,J1,62
1927,2,115,16,1,B11,1,11,0.0,J1,57
1999,2,116,16,1,E11,4,11,0.0,J1,52
2023,2,117,16,1,F11,5,11,0.0,J1,53
1976,2,118,16,1,D12,3,12,0.0,J1,48
2000,2,119,16,1,E12,4,12,0.0,J1,49
1929,2,120,16,1,B13,1,13,0.0,J1,47
2001,2,121,16,1,E13,4,13,0.0,J1,42
2025,2,122,16,1,F13,5,13,0.0,J1,43
1930,2,123,16,1,B14,1,14,0.0,J1,40
2002,2,124,16,1,E14,4,14,0.0,J1,39
2026,2,125,16,1,F14,5,14,0.0,J1,36
1979,2,126,16,1,D15,3,15,0.0,J1,35
2003,2,127,16,1,E15,4,15,0.0,J1,32
139,3,0,2,1,B15,1,15,7.0,J1,37
187,3,1,2,1,D15,3,15,7.0,J1,35
138,3,2,2,1,B14,1,14,7.0,J1,40
162,3,3,2,1,C14,2,14,7.0,J1,41
234,3,4,2,1,F14,5,14,7.0,J1,36
137,3,5,2,1,B13,1,13,7.0,J1,47
209,3,6,2,1,E13,4,13,7.0,J1,42
251,3,7,2,1,F9,5,9,7.0,J1,63
136,3,8,2,1,B12,1,12,7.0,J1,50
208,3,9,2,1,E12,4,12,7.0,J1,49
207,3,10,2,1,E11,4,11,7.0,J1,52
206,3,11,2,1,E10,4,10,7.0,J1,59
250,3,12,2,1,E9,4,9,7.0,J1,62
134,3,13,2,1,B10,1,10,7.0,J1,60
158,3,14,2,1,C10,2,10,7.0,J1,61
182,3,15,2,1,D10,3,10,7.0,J1,58
395,3,16,4,1,B15,1,15,6.0,J1,37
467,3,17,4,1,E15,4,15,6.0,J1,32
394,3,18,4,1,B14,1,14,6.0,J1,40
442,3,19,4,1,D14,3,14,6.0,J1,38
466,3,20,4,1,E14,4,14,6.0,J1,39
393,3,21,4,1,B13,1,13,6.0,J1,47
441,3,22,4,1,D13,3,13,6.0,J1,45
507,3,23,4,1,F9,5,9,6.0,J1,63
392,3,24,4,1,B12,1,12,6.0,J1,50
440,3,25,4,1,D12,3,12,6.0,J1,48
390,3,26,4,1,B10,1,10,6.0,J1,60
414,3,27,4,1,C10,2,10,6.0,J1,61
438,3,28,4,1,D10,3,10,6.0,J1,58
462,3,29,4,1,E10,4,10,6.0,J1,59
486,3,30,4,1,F10,5,10,6.0,J1,56
506,3,31,4,1,E9,4,9,6.0,J1,62
651,3,32,6,1,B15,1,15,5.0,J1,37
723,3,33,6,1,E15,4,15,5.0,J1,32
650,3,34,6,1,B14,1,14,5.0,J1,40
698,3,35,6,1,D14,3,14,5.0,J1,38
673,3,36,6,1,C13,2,13,5.0,J1,44
648,3,37,6,1,B12,1,12,5.0,J1,50
672,3,38,6,1,C12,2,12,5.0,J1,51
646,3,39,6,1,B10,1,10,5.0,J1,60
670,3,40,6,1,C10,2,10,5.0,J1,61
694,3,41,6,1,D10,3,10,5.0,J1,58
718,3,42,6,1,E10,4,10,5.0,J1,59
742,3,43,6,1,F10,5,10,5.0,J1,56
762,3,44,6,1,E9,4,9,5.0,J1,62
721,3,45,6,1,E13,4,13,5.0,J1,42
745,3,46,6,1,F13,5,13,5.0,J1,43
722,3,47,6,1,E14,4,14,5.0,J1,39
930,3,48,8,1,C14,2,14,4.0,J1,41
905,3,49,8,1,B13,1,13,4.0,J1,47
904,3,50,8,1,B12,1,12,4.0,J1,50
928,3,51,8,1,C12,2,12,4.0,J1,51
902,3,52,8,1,B10,1,10,4.0,J1,60
926,3,53,8,1,C10,2,10,4.0,J1,61
950,3,54,8,1,D10,3,10,4.0,J1,58
974,3,55,8,1,E10,4,10,4.0,J1,59
998,3,56,8,1,F10,5,10,4.0,J1,56
1018,3,57,8,1,E9,4,9,4.0,J1,62
977,3,58,8,1,E13,4,13,4.0,J1,42
1019,3,59,8,1,F9,5,9,4.0,J1,63
954,3,60,8,1,D14,3,14,4.0,J1,38
907,3,61,8,1,B15,1,15,4.0,J1,37
955,3,62,8,1,D15,3,15,4.0,J1,35
1003,3,63,8,1,F15,5,15,4.0,J1,33
1184,3,64,10,1,C12,2,12,3.0,J1,51
1158,3,65,10,1,B10,1,10,3.0,J1,60
1182,3,66,10,1,C10,2,10,3.0,J1,61
1206,3,67,10,1,D10,3,10,3.0,J1,58
1230,3,68,10,1,E10,4,10,3.0,J1,59
1254,3,69,10,1,F10,5,10,3.0,J1,56
1274,3,70,10,1,E9,4,9,3.0,J1,62
1256,3,71,10,1,F12,5,12,3.0,J1,46
1161,3,72,10,1,B13,1,13,3.0,J1,47
1209,3,73,10,1,D13,3,13,3.0,J1,45
1257,3,74,10,1,F13,5,13,3.0,J1,43
1186,3,75,10,1,C14,2,14,3.0,J1,41
1234,3,76,10,1,E14,4,14,3.0,J1,39
1163,3,77,10,1,B15,1,15,3.0,J1,37
1211,3,78,10,1,D15,3,15,3.0,J1,35
1259,3,79,10,1,F15,5,15,3.0,J1,33
1438,3,80,12,1,C10,2,10,2.0,J1,61
1462,3,81,12,1,D10,3,10,2.0,J1,58
1486,3,82,12,1,E10,4,10,2.0,J1,59
1510,3,83,12,1,F10,5,10,2.0,J1,56
1530,3,84,12,1,E9,4,9,2.0,J1,62
1416,3,85,12,1,B12,1,12,2.0,J1,50
1464,3,86,12,1,D12,3,12,2.0,J1,48
1512,3,87,12,1,F12,5,12,2.0,J1,46
1417,3,88,12,1,B13,1,13,2.0,J1,47
1489,3,89,12,1,E13,4,13,2.0,J1,42
1513,3,90,12,1,F13,5,13,2.0,J1,43
1442,3,91,12,1,C14,2,14,2.0,J1,41
1490,3,92,12,1,E14,4,14,2.0,J1,39
1419,3,93,12,1,B15,1,15,2.0,J1,37
1443,3,94,12,1,C15,2,15,2.0,J1,34
1515,3,95,12,1,F15,5,15,2.0,J1,33
1766,3,96,14,1,F10,5,10,1.0,J1,56
1786,3,97,14,1,E9,4,9,1.0,J1,62
1718,3,98,14,1,D10,3,10,1.0,J1,58
1671,3,99,14,1,B11,1,11,1.0,J1,57
1695,3,100,14,1,C11,2,11,1.0,J1,54
1672,3,101,14,1,B12,1,12,1.0,J1,50
1720,3,102,14,1,D12,3,12,1.0,J1,48
1744,3,103,14,1,E12,4,12,1.0,J1,49
1673,3,104,14,1,B13,1,13,1.0,J1,47
1745,3,105,14,1,E13,4,13,1.0,J1,42
1787,3,106,14,1,F9,5,9,1.0,J1,63
1674,3,107,14,1,B14,1,14,1.0,J1,40
1722,3,108,14,1,D14,3,14,1.0,J1,38
1675,3,109,14,1,B15,1,15,1.0,J1,37
1699,3,110,14,1,C15,2,15,1.0,J1,34
1771,3,111,14,1,F15,5,15,1.0,J1,33
1926,3,112,16,1,B10,1,10,0.0,J1,60
1974,3,113,16,1,D10,3,10,0.0,J1,58
2022,3,114,16,1,F10,5,10,0.0,J1,56
1951,3,115,16,1,C11,2,11,0.0,J1,54
1975,3,116,16,1,D11,3,11,0.0,J1,55
1928,3,117,16,1,B12,1,12,0.0,J1,50
1952,3,118,16,1,C12,2,12,0.0,J1,51
2024,3,119,16,1,F12,5,12,0.0,J1,46
1953,3,120,16,1,C13,2,13,0.0,J1,44
1977,3,121,16,1,D13,3,13,0.0,J1,45
2043,3,122,16,1,F9,5,9,0.0,J1,63
1954,3,123,16,1,C14,2,14,0.0,J1,41
1978,3,124,16,1,D14,3,14,0.0,J1,38
1931,3,125,16,1,B15,1,15,0.0,J1,37
1955,3,126,16,1,C15,2,15,0.0,J1,34
2027,3,127,16,1,F15,5,15,0.0,J1,33
142,4,0,2,1,B19,1,19,7.0,J1,82
166,4,1,2,1,C19,2,19,7.0,J1,83
190,4,2,2,1,D19,3,19,7.0,J1,80
214,4,3,2,1,E19,4,19,7.0,J1,81
238,4,4,2,1,F19,5,19,7.0,J1,78
141,4,5,2,1,B18,1,18,7.0,J1,89
165,4,6,2,1,C18,2,18,7.0,J1,86
189,4,7,2,1,D18,3,18,7.0,J1,87
213,4,8,2,1,E18,4,18,7.0,J1,84
237,4,9,2,1,F18,5,18,7.0,J1,85
